SHBLON,SHBLAT,EHBLON,EHBLAT,count
121.44786558698186,31.28602908903695,121.39540668890281,31.28602908903695,11
121.62622584045064,31.169117353669957,121.60524228121902,31.196096984908493,11
121.41639024813443,31.22307661614703,121.34294779082376,31.22307661614703,11
121.42688202775024,31.088178459954342,121.384914909287,31.070192039128653,11
121.50032448506091,31.304015509862644,121.43737380736606,31.33099514110118,11
121.66819295891389,31.259049457798415,121.65770117929807,31.277035878624105,11
121.43737380736606,31.304015509862644,121.41639024813443,31.268042668211258,11
121.51081626467672,31.322001930688334,121.46884914621349,31.295022299449798,11
121.22753821504983,31.12415130160573,121.21704643543403,31.12415130160573,11
121.51081626467672,31.232069826559876,121.55278338313997,31.187103774495647,11
121.47934092582929,30.88133462045889,121.45835736659767,30.89932104128458,11
121.34294779082376,30.737443253853357,121.33245601120795,30.77341609550474,11
121.60524228121902,31.28602908903695,121.5842587219874,31.322001930688334,11
121.39540668890281,31.28602908903695,121.42688202775024,31.241063036972722,11
121.37442312967119,31.214083405734186,121.40589846851861,31.169117353669957,11
121.65770117929807,31.214083405734186,121.69966829776132,31.232069826559876,11
121.39540668890281,31.232069826559876,121.39540668890281,31.169117353669957,11
121.42688202775024,31.28602908903695,121.47934092582929,31.277035878624105,11
121.40589846851861,31.169117353669957,121.35343957043956,31.187103774495647,11
121.2904888927447,30.809388937156122,121.30098067236051,30.80039572674328,11
121.22753821504983,31.12415130160573,121.20655465581822,31.13314451201857,11
121.27999711312889,31.169117353669957,121.27999711312889,31.1781105640828,11
121.63671762006645,31.187103774495647,121.66819295891389,31.20509019532134,11
121.24852177428146,31.33099514110118,121.23802999466565,31.366967982752563,11
121.39540668890281,31.402940824403945,121.40589846851861,31.41193403481679,11
121.65770117929807,31.28602908903695,121.6786847385297,31.259049457798415,11
121.24852177428146,31.061198828715806,121.23802999466565,31.09717167036719,11
121.47934092582929,31.214083405734186,121.42688202775024,31.169117353669957,11
121.384914909287,31.1781105640828,121.39540668890281,31.12415130160573,11
121.40589846851861,31.33099514110118,121.40589846851861,31.357974772339716,11
121.24852177428146,31.088178459954342,121.27999711312889,31.115158091192882,11
121.39540668890281,31.268042668211258,121.42688202775024,31.22307661614703,11
121.41639024813443,31.384954403578256,121.40589846851861,31.384954403578256,11
121.31147245197633,31.09717167036719,121.30098067236051,31.05220561830296,11
121.34294779082376,31.232069826559876,121.2904888927447,31.22307661614703,11
121.34294779082376,31.142137722431418,121.37442312967119,31.09717167036719,11
121.45835736659767,31.37596119316541,121.42688202775024,31.357974772339716,11
121.1855710965866,31.1781105640828,121.1855710965866,31.196096984908493,11
121.41639024813443,31.142137722431418,121.36393135005538,31.169117353669957,11
121.50032448506091,31.304015509862644,121.43737380736606,31.28602908903695,11
121.47934092582929,31.241063036972722,121.42688202775024,31.28602908903695,11
121.57376694237159,31.070192039128653,121.5842587219874,31.079185249541496,11
121.40589846851861,31.169117353669957,121.35343957043956,31.20509019532134,11
121.61573406083482,31.196096984908493,121.59475050160322,31.169117353669957,11
121.55278338313997,31.25005624738557,121.53179982390834,31.196096984908493,11
121.61573406083482,31.28602908903695,121.63671762006645,31.277035878624105,11
121.24852177428146,31.33099514110118,121.2904888927447,31.366967982752563,11
121.42688202775024,31.420927245229638,121.39540668890281,31.43891366605533,11
121.46884914621349,30.97126672458735,121.45835736659767,30.953280303761655,11
121.60524228121902,31.268042668211258,121.5842587219874,31.33099514110118,11
121.57376694237159,31.142137722431418,121.59475050160322,31.115158091192882,11
121.33245601120795,31.22307661614703,121.34294779082376,31.259049457798415,11
121.39540668890281,31.22307661614703,121.37442312967119,31.196096984908493,11
121.66819295891389,31.25005624738557,121.65770117929807,31.232069826559876,11
121.51081626467672,31.232069826559876,121.43737380736606,31.268042668211258,11
121.64720939968227,31.214083405734186,121.63671762006645,31.241063036972722,11
121.33245601120795,31.25005624738557,121.35343957043956,31.232069826559876,11
121.43737380736606,31.339988351514027,121.43737380736606,31.37596119316541,11
