origin_port,grid_id,grid_center_lon,grid_center_lat,energy_type,emission_standard,type,trip_count,vehicle_count_x
外5,G5_2707_734,121.60943158768023,31.30559199950064,柴油,国五,集卡,9,4
外4,G5_2700_726,121.2950212382384,30.99808156047971,柴油,国五,集卡,9,9
外4,G5_2699_738,121.25010547403241,31.45897240388786,柴油,国五,集卡,9,8
外2,G5_2711_722,121.78909464450413,30.843952931191293,柴油,国五,集卡,9,9
外2,G5_2700_730,121.2950212382384,31.151961485527742,柴油,国五,集卡,9,8
外4,G5_2709_727,121.69926311609218,31.036574885517357,电动,新能源,未知,9,4
外4,G5_2711_730,121.78909464450413,31.151961485527742,柴油,国六,集卡,9,6
外1,G5_2713_722,121.87892617291608,30.843952931191293,柴油,国五,集卡,9,7
外4,G5_2712_726,121.83401040871009,30.99808156047971,柴油,国五,集卡,9,6
外1,G5_2708_733,121.65434735188619,31.267207791637656,柴油,国六,集卡,9,7
外4,G5_2713_725,121.87892617291608,30.959572691386352,柴油,国六,集卡,9,8
外5,G5_2705_735,121.51960005926826,31.343960575473936,柴油,国六,集卡,9,9
外6,G5_2709_727,121.69926311609218,31.036574885517357,柴油,国五,普通货车,9,4
外6,G5_2712_728,121.83401040871009,31.075052655406168,柴油,国六,普通货车,9,3
外4,G5_2699_737,121.25010547403241,31.420650788451876,柴油,国五,集卡,8,7
外6,G5_2710_736,121.74417888029814,31.382313508724522,柴油,国五,普通货车,8,6
外6,G5_2697_734,121.16027394562046,31.30559199950064,柴油,国六,普通货车,8,5
外4,G5_2704_723,121.47468429506229,30.882508365567617,柴油,国五,集卡,8,8
外4,G5_2704_722,121.47468429506229,30.843952931191293,柴油,国六,集卡,8,6
外4,G5_2704_721,121.47468429506229,30.805381997457314,柴油,国六,集卡,8,5
外2,G5_2702_738,121.38485276665034,31.45897240388786,柴油,国六,集卡,8,6
外6,G5_2709_736,121.69926311609218,31.382313508724522,柴油,国五,集卡,8,7
外6,G5_2702_743,121.38485276665034,31.650345142083754,柴油,国五,集卡,8,4
外4,G5_2698_737,121.20518970982643,31.420650788451876,柴油,国六,集卡,8,8
外1,G5_2702_739,121.38485276665034,31.497278344296827,柴油,国五,集卡,8,7
外1,G5_2707_733,121.60943158768023,31.267207791637656,柴油,国五,集卡,8,5
外1,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国四,集卡,8,7
外4,G5_2712_723,121.83401040871009,30.882508365567617,柴油,国四,集卡,8,5
外4,G5_2703_722,121.42976853085631,30.843952931191293,柴油,国五,集卡,8,8
外6,G5_2712_739,121.83401040871009,31.497278344296827,柴油,国五,客车,8,3
外2,G5_2704_737,121.47468429506229,31.420650788451876,电动,新能源,未知,8,7
外6,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国五,集卡,8,4
外6,G5_2701_726,121.33993700244436,30.99808156047971,其他,未知,未知,8,3
外6,G5_2712_728,121.83401040871009,31.075052655406168,柴油,国五,普通货车,8,2
外4,G5_2710_723,121.74417888029814,30.882508365567617,柴油,国四,集卡,8,6
